transaction_id,date,sku,store_id,quantity,price
1,2025-01-01,SKU001,S001,10,120
2,2025-01-02,SKU002,S003,5,80
3,2025-01-03,SKU001,S001,12,120
4,2025-01-04,SKU003,S005,8,150
5,2025-01-05,SKU004,S004,4,250
6,2025-01-06,SKU005,S002,20,100
7,2025-01-07,SKU002,S003,15,80
8,2025-01-08,SKU003,S005,7,150
9,2025-01-08,SKU003,S005,,150
10,2025-01-08,SKU003,S005,7,
11,2025-01-08,SKU003,S005,7,150
11,2025-01-08,SKU003,S005,7,150
12,INVALID_DATE,SKU003,S005,7,150
13,01/08/2025,SKU003,S005,7,150
14,2025-01-10,,S001,5,120
15,2025-01-11,SKU001,,5,120
16,2025-01-12,SKU999,S001,5,120
17,2025-01-13,SKU004,S004,-5,250
18,2025-01-14,SKU002,S003,10,-80
